,取締役営業戦略本部長兼MD開発部長,,取締役社長(代表取締役)最高執行責任者(COO)
,取締役人事・総務本部長兼不動産事業部長,,代表取締役社長兼CEO
,代表取締役兼執行役員社長(CEO),,取締役専務執行役員日本事業統括兼眼科事業部長
,取締役,,取締役専務執行役員工業機材事業本部長
,取締役,,代表取締役社長(社長)
,取締役,,取締役(副社長)
,取締役兼経営執行役員CPO(ChiefProductionOfficer),,取締役(常務執行役員)
,代表取締役社長,,取締役常務執行役員製造本部・生産技術本部管掌地域担当:中国
,取締役副社長執行役員営業本部長,,取締役常務執行役員事業管理本部長地域担当:アセアン/台湾
,取締役常務執行役員土木本部長,,取締役常務執行役員購買本部長車載営業本部・品質保証本部・民生ビジネス本部管掌地域担当:日本
,代表取締役常務執行役員管理本部長,,取締役相談役
,取締役常務執行役員西日本支社長,,取締役副社長社長補佐営業管掌
,取締役頭取(代表取締役),,専務取締役経営企画、財務管掌
,取締役副頭取兼CCO(代表取締役),,常務取締役技術、業務改革推進、安全、スマート化推進管掌
,取締役専務執行役員(代表取締役),,常務取締役総務、人事、リスクマネジメント管掌
,取締役常務執行役員,,常務取締役金型事業本部長
,取締役常務執行役員,,常務取締役管理本部長
,代表取締役社長,,取締役品質保証本部長
,常務取締役技術開発統括部長,,取締役経営統轄本部長
,常務取締役MFGソリューション事業部長,,代表取締役副社長安全保障輸出管理管掌、樹脂機械事業部・成形機事業部・産業機械事業部・特機本部管掌、事業開発室管掌、広島製作所・横浜製作所・名機製作所担当
,常務取締役電子部品事業部長,,取締役常務執行役員CSR・リスク管理担当、ESG推進担当、安全保障輸出管理担当、安全衛生管理・環境管理担当、人事教育部・総務部担当、秘書室長
,取締役経営企画室長,,取締役常務執行役員CISO、デジタル化推進担当、素形材・エンジニアリング事業担当、情報システム室・知的財産部担当
,代表取締役会長,,取締役常務執行役員CFO、経理部担当、経営企画室長
,代表取締役社長(執行役員)営業統括本部長,,代表取締役社長社長執行役員CEO監査部担当
,取締役(執行役員)業務部長兼特販部長,,代表取締役副社長副社長執行役員CTO経営企画部、事業企画部管掌技術開発本部、生産本部、海外事業所管
,取締役(執行役員)レンタル事業部長兼レンタル事業部北海道地区統括部長兼鉄鋼事業部管掌,,取締役常務執行役員生産本部長
,取締役(執行役員)人事部長兼事業開発室長,,取締役常務執行役員総務部、人事部、労働部所管
,取締役会長,,取締役常務執行役員CFO経営企画部、事業企画部所管経理部担当
,代表取締役社長,,(代表取締役)取締役頭取
,専務取締役コンプライアンス室長兼財務経理部・業務サポート部管掌兼法務担当,,(代表取締役)専務取締役
,専務取締役ロジスティクス統括部長兼グロサリー商品開発MD,,常務取締役事務本部長
,常務取締役販売運営部長兼チェッカー部長,,常務取締役営業本部長
,代表取締役会長,,常務取締役郡山営業部長
,代表取締役社長,,取締役専務執行役員グループコーポレート本部長
,取締役専務執行役員建築設備事業本部長,,取締役専務執行役員情報系事業統括
,取締役専務執行役員CSR推進本部長,,取締役常務執行役員生活・産業資材事業本部長
,取締役常務執行役員プラント設備事業本部長,,代表取締役副社長事業統括コーポレート企画センターセンター長(注1)
,代表取締役社長,,取締役常務執行役員バルブ・TPMS事業本部本部長
,代表取締役副社長,,取締役常務執行役員プレス・樹脂事業本部本部長
,専務取締役執行役員営業統括,,取締役(注2)
,専務取締役執行役員管理担当兼総合企画室長,,代表取締役執行役員副社長DX推進室長
,常務取締役執行役員宮城支店長,,取締役執行役員副社長
,代表取締役社長グループCEO,,取締役常務執行役員管理本部長DX推進室副室長
,取締役,,代表取締役専務執行役員社長補佐秘書室担当人事部担当購買・物流部担当内部統制推進委員長
,取締役,,取締役常務執行役員食品本部長東アジア食品事業プロジェクトチームリーダー
,取締役,,取締役常務執行役員化学品営業本部長
,取締役,,取締役執行役員財務・経理部長
,取締役頭取代表取締役,,代表取締役専務専務執行役員企画・開発本部長兼総合企画部長
,専務取締役代表取締役,,専務取締役専務執行役員営業担当兼店舗運営事業本部長
,専務取締役代表取締役,,常務取締役常務執行役員営業副担当兼商品事業本部長
,常務取締役,,常務取締役営業担当
,取締役京都支店長,,取締役CSR・経営管理担当
,取締役会長Chairman・CEO(代表取締役),,取締役経営企画担当
,取締役社長COO(代表取締役),,取締役すまいとくらしの連携本部長
,専務取締役,,取締役頭取(代表取締役)内部監査部担当
,取締役,,常務取締役(代表取締役)営業本部長・市場営業部担当
,取締役,,常務取締役業務部・内部統制部担当
,取締役会長,,常務取締役経営企画部・人材開発部事業支援部・金融投資部東京事務所担当
,代表取締役社長,,取締役執行役員東京支社支社長兼建築用品本部本部長兼営業部長
,代表取締役副社長,,取締役執行役員ダイカスト事業統括
,取締役常務執行役員生産統括本部長,,代表取締役専務執行役員内部統制コンプライアンスCSR・経理担当
,取締役常務執行役員事業統括本部長,,取締役専務執行役員安全衛生・環境品質保証担当
,取締役頭取(代表取締役),,取締役常務執行役員基幹産業事業本部長
,取締役副頭取(代表取締役),,取締役常務執行役員技術本部長
,取締役専務執行役員,,取締役常務執行役員(代表取締役)
,取締役常務執行役員,,常務取締役(代表取締役)
,取締役常務執行役員,,取締役第1技術本部長
,代表取締役会長,,取締役高松第1生産本部長兼第2技術本部長
,代表取締役社長執行役員社長,,取締役高松第2生産本部長
,取締役専務執行役員設計、施工、新事業、商品開発担当,,取締役管理本部長
,取締役常務執行役員営業担当,,取締役営業本部副本部長
,取締役常務執行役員東日本事業本部長,,取締役常務執行役員安全品質部・営業部・電設工事部・環境設備部・情報通信部担当
,代表取締役会長兼CEO経営全般、最高経営責任者,,取締役常務執行役員考査室・総務部・法務室・人事労務部・経理部・資材部担当
,代表取締役社長兼COO経営全般、最高執行責任者,,取締役常務執行役員企画部・配電部・計測器部・電力工事部・地中線部・電力保守部・担当
,取締役兼専務執行役員営業・業務統括センター担当,,常務取締役上席執行役員、社長補佐、情報・技術担当
,"取締役兼専務執行役員統括開発技術・知的財産戦略本部・技術統括センター・アプリケーション統括室・開発・基盤技術センター・EX,MS事業ユニット・3D積層造形事業化プロジェクト担当",,常務取締役上席執行役員、社長補佐、管理担当
,取締役兼常務執行役員総務担当、業務監理室長,,取締役上席執行役員、営業本部長
,取締役,,代表取締役社長社長執行役員経営戦略部長
,取締役,,取締役社長(代表取締役)CEO
,取締役,,取締役副社長(代表取締役)CTO開発本部・先行開発本部担当プロジェクトマネジメント本部長
,取締役,,取締役専務執行役員ミラー事業本部長
,取締役,,取締役専務執行役員CFO経営企画室・法務室・経理本部担当
,取締役取締役会議長指名委員会委員監査委員会委員報酬委員会委員,,代表取締役専務
,取締役報酬委員会委員長指名委員会委員監査委員会委員,,専務取締役交通政策本部・人財管理本部・交通技術研究室担当DX戦略室長
,取締役指名委員会委員長監査委員会委員報酬委員会委員,,常務取締役経営企画室・地域共創本部・バス事業本部担当広報・ブランド戦略室長
,取締役監査委員会委員長指名委員会委員報酬委員会委員,,常務取締役不動産事業本部長
,取締役,,常務取締役経営管理本部長
,代表取締役社長チーフ・エグゼクティブ・オフィサー(CEO),,代表取締役社長社長執行役員兼プリントクリエイト事業部担当
,代表取締役副社長,,取締役執行役員コーポレート本部長兼内部統制部、環境活動推進部、品質保証部担当兼リスク・コンプライアンス担当
,代表取締役副社長,,取締役執行役員海外営業本部長
,取締役,,代表取締役副社長執行役員原子力事業本部長
,取締役,,取締役副社長執行役員国際事業本部長
,取締役会長,,取締役副社長執行役員原子力事業本部副本部長
,代表取締役社長兼営業本部長,,代表取締役社長執行役員兼CEO安全保障輸出管理本部長、特定輸出申告最高責任者
,常務取締役執行役員管理本部長兼IR室長,,取締役副社長執行役員兼CMO成長期待事業担当
,取締役執行役員食品事業部長兼品質管理室長,,取締役常務執行役員兼CTO研究開発・生産・品質、環境、品質統括監理室、RD統括センター担当、エネルギー管理統括者
,取締役執行役員人事総務本部長兼開発本部長,,取締役常務執行役員兼CFO経営企画部、IT部、法務室、経理部、調達・物流担当、経営企画部長
,取締役会長(代表取締役),,代表取締役兼専務執行役員
,取締役社長(代表取締役),,取締役兼常務執行役員
,取締役副社長,,取締役兼執行役員設備・環境安全統括室長
,取締役専務執行役員農業化学品事業部長,,代表取締役副社長執行役員経理部担当兼IT企画室担当
